github_url,file_path,signature,static_match
github.com/jialuli-luka/PanoGen,Stable-Diffusion/diffusers/tests/pipelines/stable_diffusion_2/test_stable_diffusion_v_pred.py,diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.EulerDiscreteScheduler.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.DPMSolverMultistepScheduler.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained,stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2-1;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2;stabilityai/stable-diffusion-2
github.com/jeremy-collins/sd-video-gen,utils/preprocess.py,diffusers.AutoencoderKL.from_pretrained,CompVis/stable-diffusion-v1-4
github.com/jialuli-luka/PanoGen,Stable-Diffusion/diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion_inpaint.py,diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained;diffusers.StableDiffusionInpaintPipeline.from_pretrained,runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting;runwayml/stable-diffusion-inpainting
github.com/WGS-note/finetune_stable_diffusion,diffusers/tests/pipelines/stable_diffusion/test_stable_diffusion.py,diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.StableDiffusionPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained.to,hf-internal-testing/tiny-stable-diffusion-lms-pipe;CompVis/stable-diffusion-v1-1;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4;CompVis/stable-diffusion-v1-4
github.com/drboog/Shifted_Diffusion,diffusers/tests/pipelines/latent_diffusion/test_latent_diffusion_superresolution.py,diffusers.LDMSuperResolutionPipeline.from_pretrained,duongna/ldm-super-resolution
github.com/svjack/Stable-Diffusion-Chinese-Extend,train_zh_model.py,diffusers.StableDiffusionPipeline.from_pretrained;diffusers.pipelines.stable_diffusion.StableDiffusionSafetyChecker.from_pretrained,IDEA-CCNL/Taiyi-Stable-Diffusion-1B-Chinese-v0.1;CompVis/stable-diffusion-safety-checker
github.com/MichWozPol/LEGO_StableDiffusion,diffusers/tests/models/test_models_vq.py,diffusers.VQModel.from_pretrained;diffusers.VQModel.from_pretrained,fusing/vqgan-dummy;fusing/vqgan-dummy
github.com/WGS-note/finetune_stable_diffusion,diffusers/tests/pipelines/vq_diffusion/test_vq_diffusion.py,diffusers.VQDiffusionPipeline.from_pretrained,microsoft/vq-diffusion-ithq
github.com/ThinamXx/Fastai,21. Stable Diffusion/app.py,diffusers.StableDiffusionInpaintPipeline.from_pretrained,stabilityai/stable-diffusion-2-inpainting
github.com/wxj630/visual-chatgpt-zh,visual_chatgpt.py,diffusers.StableDiffusionInpaintPipeline.from_pretrained.to;diffusers.StableDiffusionInstructPix2PixPipeline.from_pretrained.to;diffusers.StableDiffusionPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained;diffusers.ControlNetModel.from_pretrained;diffusers.StableDiffusionControlNetPipeline.from_pretrained,runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5;runwayml/stable-diffusion-v1-5
